text,label
"Stop paying for electricity! This device cuts your bill by 90%!",1
"Anyone know where to get firewood near the Medjerda river?",0
"FREE Bitcoin giveaway by Elon Musk! Send 1 BTC get 2 back!",1
"La randonnée au Jebel Zaghouan offre une vue magnifique.",0
"Get Instagram followers for FREE! 10k in 24 hours!",1
"Ce camping a les meilleures douches que j'ai vues.",0
"Your loan has been pre-approved! $50,000 available now!",1
"The beach camping at Korbous is simply wonderful.",0
"You need to verify your identity - click this link now!",1
"Quelqu'un a déjà essayé le camping en kayak en Tunisie ?",0
"Adult content - click here - 18+ only - free access!",1
"La cuisine en plein air fait partie du plaisir du camping.",0
"EARN FROM HOME: $2000/day with just a laptop!",1
"J'ai vu des flamants roses à Ichkeul pendant le camping.",0
"Cheap insurance - save 80% today - limited offer!",1
"Tips for setting up a tent in windy conditions?",0
"Congratulations! You qualify for government grant of $25,000!",1
"Nothing beats the smell of campfire in the morning.",0
"You have (1) package waiting at the post office. Pay $2 fee.",1
"Le sentier de randonnée de Zaghouan est bien balisé.",0
"Make your ex jealous with this one simple trick!",1
"I always bring extra socks when camping. Life changer.",0
"FINAL WARNING: Your account will be suspended in 24 hours!",1
"Les nuits étoilées en camping sont inoubliables.",0
"Sell products online and earn $10,000/month from day one!",1
"Super expérience de camping avec les scouts ce weekend !",0
"Get cheap medications online without prescription - fast delivery!",1
"Le parc national de Bouhedma abrite des espèces rares.",0
"You have been chosen for a secret shopper program! $500/day!",1
"Best portable solar panels for charging devices while camping?",0
"Unlock your phone for FREE with this secret code!",1
"Just discovered an amazing glamping spot near Sousse.",0
